Symbol,12/31/19 Stock Price,12/31/18 Stock Price,Industry,Average Revenue Growth Rate,Net Income,EPS,Market Cap,Debt-to-Equity,Free Cash Flow,Beta,Moving Average,Stock Growth Rate
BLL,64.67,45.98,9,0.060099927,0.037871807,0.001173712,0.177800167,-0.030130636,0.084617158,0.871814349,38.14704938,0.07770877
BAC,35.22,24.64,5,0.036136152,0.415147806,0.505041444,0.109847323,-0.037775467,0.084617158,1.360451577,20.51317153,0.08332207
BK,50.33,47.07,5,0.05349173,0.115863266,0.160166765,0.003238106,0.008866326,0.084617158,1.161188418,43.35763602,0.037850497
BAX,83.62,65.82,6,-0.033997338,-0.162309218,-0.15176008,0.01453113,-0.077096,0.06287223,0.835615111,50.80782911,0.133905786
BDX,271.97,225.32,6,0.153945426,-0.045316537,-0.139824372,0.223251574,-0.025072934,0.116561714,0.852415556,170.726356,0.128031768
BBY,87.8,52.96,2,0.014928007,0.087399538,0.145511903,0.106913811,0.226893761,0.078738171,1.067176187,45.28576747,0.079633956
BIIB,296.73,300.92,6,0.081819948,0.149438415,0.204544963,-0.077545367,0.517397627,0.198513532,1.240623494,285.2764145,-0.009528681
BLK,502.7,392.82,5,0.055822995,0.063244872,0.079478115,0.054684378,-0.09563287,-0.012448977,1.373894623,382.6951265,0.023790666
BA,325.76,322.5,7,-0.0334631,0.085416082,0.095086603,0.14621021,1.328094652,0.084617158,1.110091538,191.9430333,0.255056556
BKNG,2053.73,1722.42,2,0.122821762,0.149716065,0.19701566,0.075645817,0.348165127,0.089447063,1.149127603,1485.581078,0.108634919
BWA,43.38,34.74,2,0.041305433,0.026108967,0.045494787,-0.064384411,0.061672874,0.193641807,1.413584378,45.78797143,-0.108306647
BXP,137.86,112.55,10,0.043136874,0.033035614,0.031936482,0.015869332,0.010840634,0.084617158,0.75810119,124.2741054,-0.032947227
BSX,45.22,35.34,6,0.077847275,0.085416082,0.095086603,0.290992474,0.088918006,0.084617158,1.074336189,21.96733615,0.277946482
BMY,64.19,51.98,6,0.104874879,0.114055666,0.128031898,0.089435694,0.166569197,0.224935257,0.86239099,57.07022813,-0.031296491
AVGO,316.02,254.28,8,0.395548474,0.085416082,0.095086603,0.379353986,0.057709992,0.646354408,1.38027381,153.2147093,0.260925271
BR,123.54,96.25,8,0.106667887,0.102929261,0.113303213,0.206410919,0.216297945,0.075510128,0.930179111,67.42305274,0.201535765
CHRW,78.2,84.09,7,0.025931337,0.051099049,0.066587406,-0.007011451,0.001670225,0.102290622,0.768771408,73.40110969,0.02939044
COG,17.41,22.35,4,-0.010022502,0.085416082,0.095086603,-0.102997033,-0.025053334,0.084617158,0.990653277,26.18657151,-0.067905855
CDNS,69.36,43.48,8,0.081244198,0.44149695,0.451656406,0.285089094,-0.026081291,0.187898248,1.031256748,28.29883264,0.230426146
CPB,49.42,32.99,3,-0.001079139,-0.271846881,-0.268259583,0.015753452,0.228659193,0.071634168,1.259577045,47.13628211,-0.069465649
COF,102.91,75.59,5,0.071837823,0.046054834,0.075607248,0.008702041,0.001526169,0.123442548,1.20337542,81.67145365,-0.021779371
CPRI,38.15,37.92,2,0.062690574,-0.165886971,-0.114307276,-0.178523329,2.893517686,-0.035696715,0.946833528,54.22646687,-0.157039746
CAH,50.58,44.6,6,0.09764118,0.085416082,0.095086603,-0.111505013,0.518125624,-0.062774478,0.945457524,67.32268835,-0.137865595
KMX,87.67,62.73,2,0.073044339,0.093696223,0.154074713,0.000263699,0.114791075,-0.278725049,1.172544508,61.1679461,-0.014780783
CCL,50.83,49.3,2,0.055675627,0.19734411,0.224947988,-0.005011967,0.038409085,-0.441562101,1.0220611,50.10916174,0.021210567
CAT,147.68,127.07,7,-0.005067037,0.085416082,0.095086603,0.080524645,0.040905341,-0.019330738,1.235739064,103.0022191,0.085475166
CBOE,120,97.83,5,0.130159894,0.146616404,0.088046673,0.199717754,-0.101541799,0.229769274,0.565397651,75.96685062,0.114452221
CBRE,61.29,40.04,10,0.214308888,0.214905492,0.210456552,0.124698783,-0.087342518,0.136447931,1.300862907,35.77001059,0.039820495
CDW,142.84,81.05,8,0.083519858,0.246442264,0.286260975,0.276446247,-0.002637591,0.15789078,0.971181397,52.74242559,0.232097745
CE,123.12,89.97,9,-0.015310259,0.064267992,0.112288441,0.100686008,0.047569774,0.307200449,1.238187442,78.03866738,0.106774193
CNC,62.87,57.65,6,0.351374909,0.372734995,0.224282145,0.336850837,0.066930215,-0.076134032,1.064950483,34.65679185,0.220711963
CNP,27.27,28.23,11,0.059218101,0.085416082,0.095086603,0.0629896,-0.013952145,0.084617158,0.638496821,24.6335241,0.04769446
CTL,13.21,15.15,1,0.04435829,0.085416082,0.095086603,-0.086083361,0.160478598,0.073479048,0.911480838,24.2619084,-0.213435737
CERN,73.39,52.44,6,0.108401984,0.001525883,0.015120208,0.008653572,0.384800255,0.080878139,1.004754603,60.91338373,-0.051020686
CF,47.74,43.51,9,-0.006544886,0.085416082,0.095086603,-0.051969658,-0.022172876,0.084617158,1.136772567,41.49246437,-0.054781509
SCHW,47.56,41.53,5,0.138691805,0.22900495,0.227927462,0.091577733,0.063792891,0.084617158,1.509034365,35.35133269,0.082990643
CHTR,485.08,284.97,1,0.381084309,0.085416082,0.095086603,0.45700599,-0.568458472,1.012258232,0.920107048,248.752217,0.115152748
CVX,120.51,108.79,4,-0.061698653,0.085416082,0.095086603,0.014476755,0.070263704,0.084617158,0.996788593,111.7526203,-0.007641977
CMG,837.11,431.79,2,0.063393862,-0.04696722,-0.02536615,0.018513308,-0.035168216,-0.020249128,0.757892305,508.1172329,-0.108804067
CB,155.66,129.18,5,0.122149244,0.093174993,0.028272984,0.131060968,0.059561357,0.022293226,0.818183048,122.8915936,0.02976402
CHD,70.34,65.76,3,0.057333204,0.082736944,0.102468846,0.103634016,0.140629805,0.109764248,1.36460117,46.85920275,0.136586827
CI,204.49,189.92,6,0.345993805,0.194140948,0.112933193,0.232406949,0.138190972,0.382031142,0.85288127,138.1780339,0.165542947
CINF,105.15,77.42,5,0.098893575,0.306302483,0.306126104,0.15181769,-0.073701191,0.065044103,0.862745968,66.02761192,0.105523527
CTAS,269.08,167.99,7,0.0978716,0.159326817,0.189743586,0.249122686,0.099466414,0.157020185,0.944430526,112.4049674,0.209724458
CSCO,47.96,43.33,8,0.019083414,0.074320762,0.112575494,0.074222829,0.126988606,0.061885386,1.076830728,32.56210196,0.117190943
C,79.89,52.06,5,0.026184764,0.085416082,0.095086603,0.01248264,0.015726478,0.084617158,1.394308674,57.25469248,-0.009609063
CTXS,110.9,102.46,8,-0.008564019,0.085416082,0.095086603,0.070553142,0.359945995,-0.051620233,1.042800594,70.86529708,0.191696344
CLX,153.54,154.14,3,0.019810865,0.093462594,0.098969133,0.074002971,-0.257294473,0.029621009,0.487991688,121.4633359,0.102812017
CME,200.72,188.12,5,0.093574165,0.134308443,0.119279014,0.192235588,0.121281541,0.160990564,0.788728317,115.162505,0.206949384
CMS,62.84,49.65,11,-0.009483077,0.073490256,0.063018649,0.131991251,0.02227667,0.084617158,0.367596923,40.46042398,0.093304438
KO,55.35,47.35,3,-0.041229272,0.046756754,0.053571665,0.050999901,0.122986493,0.005017015,1.379595025,43.75647582,0.029083082
CTSH,62.02,63.48,8,0.103372574,0.050582724,0.068702386,0.011546204,0.238080416,0.108173075,1.104706114,60.5026569,0.047825627
CL,68.84,59.52,3,-0.019048517,0.016595898,0.029321744,-0.012286828,0.3255194,0.019456288,0.640151517,68.05115752,-0.036936556
CMCSA,44.97,34.05,1,0.096359411,0.09274764,0.121868293,0.065078882,0.093496716,0.105732359,0.934530222,32.59073677,0.040904921
CMA,71.75,68.69,5,0.07832706,0.15101352,0.194138086,0.042085647,0.211965687,0.120274084,1.261825922,58.86910091,0.100447068
CAG,34.24,21.36,3,-0.059121396,0.085416082,0.095086603,0.015201837,-0.018349521,0.116802245,0.639163595,31.2545268,-0.067352366
CXO,87.57,102.79,4,0.104654183,0.085416082,0.095086603,0.093242898,-0.201409989,-0.150918005,1.386720909,117.9564105,0.007533489
COP,65.03,62.35,4,-0.0911672,0.085416082,0.095086603,-0.034405972,0.032315346,0.084617158,1.174177502,57.92716547,-0.02522929
ED,90.47,76.46,11,-0.005398954,0.042784469,0.018099599,0.092392805,0.037380186,0.084617158,0.64099527,71.15172562,0.03742364
STZ,189.75,160.82,3,0.066766298,0.011840574,0.013491801,0.138897056,-0.038781135,0.41914844,0.795518219,142.7924339,0.131332639
COO,321.29,254.5,6,0.090855533,0.115785781,0.109690394,0.150915157,0.183299405,0.142041856,0.839077944,192.1668346,0.119393784
CPRT,90.94,47.78,7,0.127060105,0.296581414,0.320380602,0.356059638,-0.035782486,0.0961817,0.909621968,29.28228514,0.272112645
GLW,29.11,30.21,8,0.034364634,0.085416082,0.095086603,-0.052982552,0.277122656,0.084617158,1.188760389,24.1268771,0.071363059
COST,293.92,203.71,3,0.062015147,0.119041625,0.118229185,0.157678523,0.033199407,0.084438891,0.718030714,165.3166998,0.094894616
COTY,11.25,6.56,3,0.13318767,0.085416082,0.095086603,0.03017137,-0.154193063,0.084617158,0.693460088,17.76229289,-0.249339817
CCI,142.15,108.63,10,0.10352303,0.191044727,0.13743443,0.176013821,0.041296261,-0.178473162,1.424682547,94.10912842,0.083911345
CSX,72.36,62.13,7,-0.011832488,0.115677266,0.166583284,0.093457527,0.097137644,0.289948227,1.167337692,41.26946532,0.144348369
CMI,178.96,133.64,7,0.041646612,0.064810373,0.09880348,0.00805957,0.092437425,0.102517197,1.151917379,140.1373525,-0.018782259
CVS,74.29,65.52,6,0.130001176,0.085416082,0.095086603,-0.02626928,0.33631855,0.116057945,0.821902603,78.44640279,-0.091812278
DHI,52.75,34.66,2,0.15887693,0.260974671,0.248364644,0.160615588,-0.12473367,0.084617158,1.2013542,31.96839285,0.081981742
DHR,153.48,103.12,6,0.003902421,0.029722352,0.020743038,0.128521935,0.289939635,0.00284787,0.953220694,80.23169556,0.122464335
DRI,109.01,99.86,2,0.061719371,-0.012205526,0.001579163,0.129410811,0.072501183,0.395346009,0.766542882,71.36966415,0.174385137
DVA,75.03,51.46,6,-0.075412731,-0.017596677,0.055480907,-0.099979352,0.137299086,0.098037304,0.786329611,67.25287082,-0.092103963
DE,173.26,149.17,7,0.017101071,0.005796348,0.033975227,0.12248235,0.01342511,0.084617158,0.940666335,108.2143281,0.139518461
DAL,58.48,49.9,7,0.030950875,0.485497576,0.570215727,-0.016819104,0.049234752,0.052765889,1.260150228,45.15298933,0.003589088
XRAY,56.59,37.21,6,0.066330182,0.085416082,0.095086603,0.107934685,-0.099385134,0.02043217,0.828849454,52.98493784,-0.085793629
DVN,25.97,22.54,4,-0.156854819,0.085416082,0.095086603,-0.16813495,0.080772532,0.084617158,1.472148229,42.31896369,-0.221008206
FANG,92.86,92.7,4,0.514653186,0.085416082,0.095086603,0.344380151,-0.041814344,-0.023471509,1.370825343,85.94019747,0.11591459
DLR,119.74,106.55,10,0.147013834,0.236981086,0.187359963,0.231956378,-0.02382845,-0.230779048,1.550587992,87.19861588,0.125926346
DFS,84.82,58.98,5,0.077962415,0.049446789,0.131300434,-0.021880797,0.031811593,0.099394909,1.181544194,63.14620339,-0.025835174
DISCA,32.74,24.74,1,0.122080476,0.085416082,0.095086603,-0.010005493,0.047486638,0.210209936,1.056465885,29.77563568,-0.079438904
DISCK,30.49,23.08,1,0.122080476,0.085416082,0.095086603,-0.01068643,0.047486638,0.210209936,1.032067872,28.13357973,-0.090428048
DISH,35.47,24.8706,1,-0.026433072,0.081775611,0.073965137,-0.112031525,-0.30790684,0.086244235,1.069207226,49.99147081,-0.234953717
DG,155.98,108.08,2,0.08092014,0.099745236,0.139613833,0.131074178,0.191169757,0.117930452,0.694694859,81.45338311,0.111940325
DLTR,94.05,90.32,2,0.229587164,0.085416082,0.095086603,0.089883711,0.218220931,0.077370088,0.802890476,78.19058212,0.064348045
D,82.82,71.46,11,0.059104571,0.00722314,-0.064747944,0.088637787,-0.078896084,0.084617158,0.383719733,72.40346818,-0.018174815
DOV,115.26,70.95,7,-0.016430867,-0.026471301,0.000428817,0.071404293,0.093415505,-0.013025274,1.152721085,67.41191166,0.052169055
DTE,129.87,110.3,11,0.005912914,0.052526857,0.04408988,0.102926518,0.060588507,0.084617158,0.368112896,93.66449043,0.063048669
DUK,91.21,86.3,11,0.009465902,0.147598184,0.137244319,0.023904479,0.055147701,0.084617158,0.347470032,79.10128916,0.008159115
DRE,34.67,25.9,10,-0.01437153,0.11983648,0.141065131,0.130462095,-0.157555237,0.14791703,0.790148113,23.5522236,0.064111407
DD,64.2,76.0916,9,-0.196540124,0.085416082,0.095086603,-0.026326558,-0.022114351,0.084617158,1.224628396,76.30436221,0.040597734
ETFC,45.37,43.88,5,0.092689742,0.266564031,0.303605579,0.078834548,-0.201788826,0.259936757,1.537266708,32.56447232,0.159755217
EMN,79.26,73.11,9,-0.005390006,0.002121472,0.018801501,-0.008845306,-0.0551615,0.058766321,1.226770653,79.68291883,-0.009188619
ETN,94.72,68.66,7,-0.010524274,0.042801604,0.068155008,0.039551981,-0.008962527,0.181111762,1.247794631,71.05570866,0.002565157
EBAY,36.11,28.07,2,-0.033981871,0.085416082,0.095086603,-0.158747925,0.509468865,-0.119565872,1.020884392,29.32796664,0.044099791
ECL,192.99,147.35,9,0.008614689,0.053234236,0.061192672,0.121401903,-0.011681407,0.087135359,0.930876963,126.9354996,0.08965166
EIX,75.41,56.77,11,-0.016411187,0.085416082,0.095086603,0.048559741,0.071209669,0.084617158,0.436204231,64.1531464,-0.035055009
EW,233.29,153.17,6,0.133579032,0.052364428,0.070250734,0.289892537,-0.125902588,-0.002869303,1.01037714,91.32322083,0.245304667
EA,107.51,78.91,1,0.038855105,0.272859901,0.285543845,0.165141001,-0.045538221,0.104822648,1.107684747,70.06577655,0.138213941
EMR,76.26,59.75,7,-0.056040877,-0.003922047,0.022392193,0.01684137,0.02898263,-0.028417295,1.138902424,61.13925345,-0.008117088
ETR,119.8,86.07,11,-0.027323352,0.085416082,0.095086603,0.086021453,0.080876711,0.084617158,0.398430798,78.5221812,-0.004054079
EOG,83.76,87.21,4,0.004057289,0.085416082,0.095086603,-0.006940006,-0.027253622,0.084617158,1.252167726,92.65373362,-0.013466049
EFX,140.12,93.13,7,0.075603716,0.085416082,0.095086603,0.117119636,0.183820217,0.084617158,0.909215606,104.8451814,0.035918383
EQIX,583.7,352.56,10,0.17878908,0.085416082,0.095086603,0.319287619,-0.024840172,0.084617158,0.832751617,324.3065205,0.116685848
EQR,80.92,66.01,10,0.006517571,0.089782527,0.084471771,0.029121882,-0.028039018,0.084617158,1.383151982,67.49334638,-0.020936518
ESS,300.86,245.21,10,0.085193043,0.283661601,0.255285211,0.085189554,0.022272548,0.084617158,1.412516403,228.7512195,0.043763162
EL,206.54,130.1,3,0.076799162,0.104365855,0.116808345,0.207693957,0.26173735,0.067657325,0.90302381,100.7960893,0.14309041
EVRG,65.09,56.77,11,0.079490162,0.089841191,0.088235423,0.218088737,0.027410958,0.100227443,0.363108671,46.81779916,0.083178571
ES,85.07,65.04,11,0.01949438,0.020946696,0.017948673,0.101895003,0.049213817,0.084617158,0.385832119,55.87261534,0.04994393
RE,276.84,217.76,5,0.072141538,-0.033025407,-0.009729726,0.079391317,-0.026946695,0.07107788,0.638981039,198.7504578,0.06338582
EXC,45.59,45.1,11,0.046571144,0.12586808,0.09870659,0.067702893,0.049016743,0.084617158,0.478247005,36.49381886,0.050169024
EXPE,108.14,112.65,2,0.15926528,0.072536075,0.042527878,0.077211059,0.075759609,0.091228885,1.106321469,109.3688142,0.071813437
EXPD,78.02,68.09,7,0.044861733,0.093921284,0.123838117,0.090619033,-0.035168216,0.151869891,0.892265524,54.13414511,0.111508473
EXR,105.62,90.48,10,0.151053264,0.186823058,0.162533312,0.149297784,0.097594634,0.084617158,1.332404211,75.22708809,0.114524597
XOM,69.78,68.19,4,-0.068030528,-0.151054671,-0.150613925,-0.054863416,0.146653732,-0.151334373,0.908622413,84.09044146,-0.073269527
FFIV,139.65,162.03,8,0.048662215,0.035415984,0.080223936,-0.024808878,-0.035168216,0.014452432,1.087519274,126.4601302,0.055663129
FB,205.25,131.09,1,0.414929406,0.445901529,0.420598647,0.218944161,-0.271742805,0.423726828,1.170936398,113.9959229,0.13852063
FAST,36.95,26.145,7,0.073945699,0.098632786,0.105703087,0.084920025,0.504684353,0.139839234,1.064371876,24.32810375,0.023986424
FRT,128.73,118.04,10,0.064043239,0.16551028,0.137078326,0.013468551,-0.014222061,0.084617158,1.51370285,130.3851605,-0.030228269
FDX,151.21,161.33,7,0.081501031,-0.50302755,-0.495057646,-0.043046846,0.347439441,0.084617158,1.135957737,175.0082644,-0.018243389
FIS,139.09,102.55,8,0.100053474,-0.151881558,-0.163307964,0.37098322,0.045002521,0.168060999,0.965513898,77.60281357,0.133147174
FITB,30.74,23.53,5,0.085237807,0.111219111,0.15142042,0.053770535,-0.03389754,-0.024961226,1.175941317,23.27689581,0.036647435
FE,48.6,37.55,11,-0.060162133,0.085416082,0.095086603,0.098631083,0.114476973,0.084617158,0.447203214,34.86897742,-0.00936384
FRC,117.45,86.9,5,0.182032505,0.138204896,0.106165243,0.224283915,0.01689318,0.111463513,0.978497673,73.88992269,0.136328351
FISV,115.63,73.49,8,0.149942762,0.034417889,0.042142352,0.353385827,0.162105543,0.153635314,0.957807429,51.94926151,0.199625971
FLT,287.72,185.72,8,0.171707805,0.194085473,0.18843563,0.149024985,0.036073131,0.133348078,1.173312743,163.8396296,0.057132988
FLIR,52.07,43.54,8,0.042749933,-0.030422202,-0.022080569,0.089413604,0.121462331,0.145628205,0.989267652,37.75455143,0.07742703
FLS,49.77,38.02,7,-0.04157135,-0.131505896,-0.124335705,-0.043980574,0.082440212,-0.065261261,1.311794771,51.08894585,-0.107160743
FMC,99.82,64.0932,9,0.071834028,0.091961833,0.094954687,0.112268329,0.049752945,0.084617158,1.168505835,58.13842772,0.067144792
F,9.3,7.65,2,0.015898436,-0.479563244,-0.436106069,-0.091731816,-0.002179618,0.072746016,1.078396753,12.5763211,-0.161829379
FTNT,106.76,70.43,8,0.22856634,0.667266532,0.663368304,0.292893399,-0.035168216,0.342103168,1.244538357,40.04068837,0.231108655
FBHS,65.34,37.99,7,0.075095435,0.22261654,0.261320917,0.049464045,0.339497241,0.295125205,1.1918912,51.52886253,-0.042883728
BEN,25.98,29.66,5,-0.073194392,-0.115531556,-0.07715558,-0.177545959,-0.165380285,0.084617158,1.329194093,41.04596927,-0.144491841
FCX,13.12,10.31,9,-0.076477017,0.085416082,0.095086603,-0.047428891,-0.059248036,0.084617158,1.799413156,16.16908357,-0.184927094
GPS,17.68,25.76,2,0.000367782,-0.082888439,-0.055912489,-0.180319532,0.296328339,-0.118891594,0.906500724,29.53721758,-0.115617471
GRMN,97.56,63.32,2,0.055318728,0.211995371,0.21576149,0.129187821,-0.035168216,0.052548063,0.977944899,53.88132217,0.046321318
IT,154.1,127.84,8,0.159978375,0.048880937,0.048682202,0.132095014,0.088105568,0.062032933,0.952639429,100.8690896,0.110007143
